email,data,groups
karen.strickland@not-actually-mitre.org,"{""first_name"": ""Karen"", ""last_name"": ""Strickland"", ""company"": ""MITRE"", ""job_title"": ""Lobbyist"", ""phone_number"": ""220.842.5212x10118"", ""department"": ""L534"", ""manager"": ""Bianca Bailey""}","MITRE,MITRE_L534"
kimberly.bryan@not-actually-mitre.org,"{""first_name"": ""Kimberly"", ""last_name"": ""Bryan"", ""company"": ""MITRE"", ""job_title"": ""Intelligence analyst"", ""phone_number"": ""(276)813-1859x55436"", ""department"": ""L533"", ""manager"": ""Yvette Romero""}","MITRE,MITRE_L533"
john.herman@not-actually-mitre.org,"{""first_name"": ""John"", ""last_name"": ""Herman"", ""company"": ""MITRE"", ""job_title"": ""Teacher, adult education"", ""phone_number"": ""282-329-1216"", ""department"": ""P724"", ""manager"": ""Jonathan Phillips""}","MITRE,MITRE_P724"
john.lee@not-actually-mitre.org,"{""first_name"": ""John"", ""last_name"": ""Lee"", ""company"": ""MITRE"", ""job_title"": ""Television/film/video producer"", ""phone_number"": ""321.713.3254x58529"", ""department"": ""P721"", ""manager"": ""Devon Huff""}","MITRE,MITRE_P721"
albert.cruz@not-actually-mitre.org,"{""first_name"": ""Albert"", ""last_name"": ""Cruz"", ""company"": ""MITRE"", ""job_title"": ""Stage manager"", ""phone_number"": ""001-461-977-4720x3041"", ""department"": ""P720"", ""manager"": ""Jacqueline Mccarty""}","MITRE,MITRE_P720"
jennifer.barnes@not-actually-mitre.org,"{""first_name"": ""Jennifer"", ""last_name"": ""Barnes"", ""company"": ""MITRE"", ""job_title"": ""Horticulturist, amenity"", ""phone_number"": ""001-277-907-5229x5628"", ""department"": ""L530"", ""manager"": ""Steven Richardson""}","MITRE,MITRE_L530"
taylor.white@not-actually-mitre.org,"{""first_name"": ""Taylor"", ""last_name"": ""White"", ""company"": ""MITRE"", ""job_title"": ""Accommodation manager"", ""phone_number"": ""(486)809-6329"", ""department"": ""P720"", ""manager"": ""Larry Russell""}","MITRE,MITRE_P720"
raymond.rogers@not-actually-mitre.org,"{""first_name"": ""Raymond"", ""last_name"": ""Rogers"", ""company"": ""MITRE"", ""job_title"": ""Television production assistant"", ""phone_number"": ""001-469-380-2157x073"", ""department"": ""L531"", ""manager"": ""Christopher Lopez""}","MITRE,MITRE_L531"
benjamin.williams@not-actually-mitre.org,"{""first_name"": ""Benjamin"", ""last_name"": ""Williams"", ""company"": ""MITRE"", ""job_title"": ""Loss adjuster, chartered"", ""phone_number"": ""938-833-9926x478"", ""department"": ""P723"", ""manager"": ""Melissa Walker""}","MITRE,MITRE_P723"
eric.bush@not-actually-mitre.org,"{""first_name"": ""Eric"", ""last_name"": ""Bush"", ""company"": ""MITRE"", ""job_title"": ""Armed forces logistics/support/administrative officer"", ""phone_number"": ""001-461-669-1556x733"", ""department"": ""P722"", ""manager"": ""Jordan Burton""}","MITRE,MITRE_P722"
jesus.lopez@not-actually-mitre.org,"{""first_name"": ""Jesus"", ""last_name"": ""Lopez"", ""company"": ""MITRE"", ""job_title"": ""Regulatory affairs officer"", ""phone_number"": ""201.851.3376x836"", ""department"": ""P722"", ""manager"": ""Jaime Barnes""}","MITRE,MITRE_P722"
raymond.oconnor@not-actually-mitre.org,"{""first_name"": ""Raymond"", ""last_name"": ""Oconnor"", ""company"": ""MITRE"", ""job_title"": ""Surveyor, hydrographic"", ""phone_number"": ""422-722-4968"", ""department"": ""P720"", ""manager"": ""Jessica Bond""}","MITRE,MITRE_P720"
john.dixon@not-actually-mitre.org,"{""first_name"": ""John"", ""last_name"": ""Dixon"", ""company"": ""MITRE"", ""job_title"": ""Associate Professor"", ""phone_number"": ""+1-840-912-5942x672"", ""department"": ""L533"", ""manager"": ""Kara Miller""}","MITRE,MITRE_L533"
james.mendoza@not-actually-mitre.org,"{""first_name"": ""James"", ""last_name"": ""Mendoza"", ""company"": ""MITRE"", ""job_title"": ""Engineer, broadcasting (operations)"", ""phone_number"": ""001-855-557-0005x119"", ""department"": ""P720"", ""manager"": ""Joseph Williams""}","MITRE,MITRE_P720"
margaret.griffin@not-actually-mitre.org,"{""first_name"": ""Margaret"", ""last_name"": ""Griffin"", ""company"": ""MITRE"", ""job_title"": ""Chief Operating Officer"", ""phone_number"": ""7998395408"", ""department"": ""L532"", ""manager"": ""Dalton Mclaughlin""}","MITRE,MITRE_L532"
jacob.villa@not-actually-mitre.org,"{""first_name"": ""Jacob"", ""last_name"": ""Villa"", ""company"": ""MITRE"", ""job_title"": ""Buyer, retail"", ""phone_number"": ""380.593.7040x502"", ""department"": ""L531"", ""manager"": ""Samantha Lopez""}","MITRE,MITRE_L531"
kristin.mcintosh@not-actually-mitre.org,"{""first_name"": ""Kristin"", ""last_name"": ""Mcintosh"", ""company"": ""MITRE"", ""job_title"": ""Printmaker"", ""phone_number"": ""(337)568-7533x608"", ""department"": ""P722"", ""manager"": ""Kenneth Adams""}","MITRE,MITRE_P722"
john.lewis@not-actually-mitre.org,"{""first_name"": ""John"", ""last_name"": ""Lewis"", ""company"": ""MITRE"", ""job_title"": ""Scientist, water quality"", ""phone_number"": ""753.845.8348x262"", ""department"": ""L534"", ""manager"": ""Leslie Rodriguez""}","MITRE,MITRE_L534"
david.watkins@not-actually-mitre.org,"{""first_name"": ""David"", ""last_name"": ""Watkins"", ""company"": ""MITRE"", ""job_title"": ""Translator"", ""phone_number"": ""001-619-301-7833x06474"", ""department"": ""L530"", ""manager"": ""Jose Wilson""}","MITRE,MITRE_L530"
brandon.jones@not-actually-mitre.org,"{""first_name"": ""Brandon"", ""last_name"": ""Jones"", ""company"": ""MITRE"", ""job_title"": ""Surveyor, building"", ""phone_number"": ""457.791.6109x7114"", ""department"": ""P722"", ""manager"": ""Courtney Garcia""}","MITRE,MITRE_P722"
misty.miller@not-actually-mitre.org,"{""first_name"": ""Misty"", ""last_name"": ""Miller"", ""company"": ""MITRE"", ""job_title"": ""Financial controller"", ""phone_number"": ""907.363.7769x6981"", ""department"": ""P723"", ""manager"": ""Leslie Campbell""}","MITRE,MITRE_P723"
brian.brown@not-actually-mitre.org,"{""first_name"": ""Brian"", ""last_name"": ""Brown"", ""company"": ""MITRE"", ""job_title"": ""Private music teacher"", ""phone_number"": ""+1-842-404-8356x281"", ""department"": ""P720"", ""manager"": ""Christopher Valencia""}","MITRE,MITRE_P720"
alexandra.phillips@not-actually-mitre.org,"{""first_name"": ""Alexandra"", ""last_name"": ""Phillips"", ""company"": ""MITRE"", ""job_title"": ""Insurance underwriter"", ""phone_number"": ""753.623.4221"", ""department"": ""L533"", ""manager"": ""Robert Davidson MD""}","MITRE,MITRE_L533"
michael.bradley@not-actually-mitre.org,"{""first_name"": ""Michael"", ""last_name"": ""Bradley"", ""company"": ""MITRE"", ""job_title"": ""Fine artist"", ""phone_number"": ""+1-727-736-2859"", ""department"": ""L533"", ""manager"": ""Jerry Williams""}","MITRE,MITRE_L533"
julie.jensen@not-actually-mitre.org,"{""first_name"": ""Julie"", ""last_name"": ""Jensen"", ""company"": ""MITRE"", ""job_title"": ""Commercial art gallery manager"", ""phone_number"": ""456-684-5538x26182"", ""department"": ""L532"", ""manager"": ""John Smith""}","MITRE,MITRE_L532"
emily.beck@not-actually-mitre.org,"{""first_name"": ""Emily"", ""last_name"": ""Beck"", ""company"": ""MITRE"", ""job_title"": ""Investment banker, operational"", ""phone_number"": ""(232)651-1593x3577"", ""department"": ""L532"", ""manager"": ""Raymond Russo Jr.""}","MITRE,MITRE_L532"
tammy.thomas@not-actually-mitre.org,"{""first_name"": ""Tammy"", ""last_name"": ""Thomas"", ""company"": ""MITRE"", ""job_title"": ""Museum/gallery curator"", ""phone_number"": ""7275009763"", ""department"": ""P723"", ""manager"": ""Samantha Herrera""}","MITRE,MITRE_P723"
robin.banks@not-actually-mitre.org,"{""first_name"": ""Robin"", ""last_name"": ""Banks"", ""company"": ""MITRE"", ""job_title"": ""Engineer, drilling"", ""phone_number"": ""001-838-289-3317"", ""department"": ""P724"", ""manager"": ""Alexander Coleman""}","MITRE,MITRE_P724"
whitney.harris@not-actually-mitre.org,"{""first_name"": ""Whitney"", ""last_name"": ""Harris"", ""company"": ""MITRE"", ""job_title"": ""Film/video editor"", ""phone_number"": ""(309)823-5860x4188"", ""department"": ""L532"", ""manager"": ""Brittany Becker""}","MITRE,MITRE_L532"
maria.huff@not-actually-mitre.org,"{""first_name"": ""Maria"", ""last_name"": ""Huff"", ""company"": ""MITRE"", ""job_title"": ""Freight forwarder"", ""phone_number"": ""264-626-4305x8218"", ""department"": ""P722"", ""manager"": ""Michael James""}","MITRE,MITRE_P722"
karina.dominguez@not-actually-mitre.org,"{""first_name"": ""Karina"", ""last_name"": ""Dominguez"", ""company"": ""MITRE"", ""job_title"": ""Sports therapist"", ""phone_number"": ""835.609.9147x37309"", ""department"": ""L533"", ""manager"": ""Bridget Davis""}","MITRE,MITRE_L533"
jasmin.jones@not-actually-mitre.org,"{""first_name"": ""Jasmin"", ""last_name"": ""Jones"", ""company"": ""MITRE"", ""job_title"": ""Production assistant, television"", ""phone_number"": ""975.914.0884x761"", ""department"": ""L534"", ""manager"": ""James Miles""}","MITRE,MITRE_L534"
christina.mitchell@not-actually-mitre.org,"{""first_name"": ""Christina"", ""last_name"": ""Mitchell"", ""company"": ""MITRE"", ""job_title"": ""Designer, industrial/product"", ""phone_number"": ""001-845-819-8427x426"", ""department"": ""L531"", ""manager"": ""Juan Nielsen""}","MITRE,MITRE_L531"
antonio.walker@not-actually-mitre.org,"{""first_name"": ""Antonio"", ""last_name"": ""Walker"", ""company"": ""MITRE"", ""job_title"": ""Exhibition designer"", ""phone_number"": ""892.266.4231x1787"", ""department"": ""P724"", ""manager"": ""Cindy Gonzalez""}","MITRE,MITRE_P724"
miguel.solomon@not-actually-mitre.org,"{""first_name"": ""Miguel"", ""last_name"": ""Solomon"", ""company"": ""MITRE"", ""job_title"": ""Horticultural therapist"", ""phone_number"": ""(385)934-7910"", ""department"": ""L532"", ""manager"": ""Laura Torres""}","MITRE,MITRE_L532"
ashley.dean@not-actually-mitre.org,"{""first_name"": ""Ashley"", ""last_name"": ""Dean"", ""company"": ""MITRE"", ""job_title"": ""Haematologist"", ""phone_number"": ""3084685083"", ""department"": ""L531"", ""manager"": ""Casey Johnson""}","MITRE,MITRE_L531"
michael.hughes@not-actually-mitre.org,"{""first_name"": ""Michael"", ""last_name"": ""Hughes"", ""company"": ""MITRE"", ""job_title"": ""Chartered accountant"", ""phone_number"": ""328.509.3098"", ""department"": ""L532"", ""manager"": ""Peggy Smith""}","MITRE,MITRE_L532"
julian.liu@not-actually-mitre.org,"{""first_name"": ""Julian"", ""last_name"": ""Liu"", ""company"": ""MITRE"", ""job_title"": ""Nature conservation officer"", ""phone_number"": ""460-462-6057"", ""department"": ""L532"", ""manager"": ""Austin Johnson""}","MITRE,MITRE_L532"
eric.taylor@not-actually-mitre.org,"{""first_name"": ""Eric"", ""last_name"": ""Taylor"", ""company"": ""MITRE"", ""job_title"": ""Actuary"", ""phone_number"": ""+1-236-935-7823"", ""department"": ""L532"", ""manager"": ""Nicholas Wall Jr.""}","MITRE,MITRE_L532"
jessica.harris@not-actually-mitre.org,"{""first_name"": ""Jessica"", ""last_name"": ""Harris"", ""company"": ""MITRE"", ""job_title"": ""Financial controller"", ""phone_number"": ""+1-298-697-9676x2528"", ""department"": ""P723"", ""manager"": ""Vincent Fields""}","MITRE,MITRE_P723"
tamara.patterson@not-actually-mitre.org,"{""first_name"": ""Tamara"", ""last_name"": ""Patterson"", ""company"": ""MITRE"", ""job_title"": ""Health visitor"", ""phone_number"": ""698.371.4122"", ""department"": ""P720"", ""manager"": ""Katherine Hill""}","MITRE,MITRE_P720"
kimberly.white@not-actually-mitre.org,"{""first_name"": ""Kimberly"", ""last_name"": ""White"", ""company"": ""MITRE"", ""job_title"": ""Health physicist"", ""phone_number"": ""525-928-8429"", ""department"": ""P721"", ""manager"": ""Alexander Allen""}","MITRE,MITRE_P721"
aimee.francis@not-actually-mitre.org,"{""first_name"": ""Aimee"", ""last_name"": ""Francis"", ""company"": ""MITRE"", ""job_title"": ""Technical brewer"", ""phone_number"": ""001-214-393-4838x65778"", ""department"": ""L533"", ""manager"": ""Ashley Johnson""}","MITRE,MITRE_L533"
crystal.baker@not-actually-mitre.org,"{""first_name"": ""Crystal"", ""last_name"": ""Baker"", ""company"": ""MITRE"", ""job_title"": ""Engineer, civil (contracting)"", ""phone_number"": ""001-719-749-8417"", ""department"": ""L532"", ""manager"": ""Christopher Black""}","MITRE,MITRE_L532"
melinda.palmer@not-actually-mitre.org,"{""first_name"": ""Melinda"", ""last_name"": ""Palmer"", ""company"": ""MITRE"", ""job_title"": ""Metallurgist"", ""phone_number"": ""(916)497-4897x0690"", ""department"": ""L531"", ""manager"": ""Michael Beck""}","MITRE,MITRE_L531"
john.copeland@not-actually-mitre.org,"{""first_name"": ""John"", ""last_name"": ""Copeland"", ""company"": ""MITRE"", ""job_title"": ""Hydrologist"", ""phone_number"": ""(271)979-8995x923"", ""department"": ""P720"", ""manager"": ""Dr. Matthew Wheeler""}","MITRE,MITRE_P720"
andrew.avery@not-actually-mitre.org,"{""first_name"": ""Andrew"", ""last_name"": ""Avery"", ""company"": ""MITRE"", ""job_title"": ""Environmental manager"", ""phone_number"": ""298.515.1632"", ""department"": ""P721"", ""manager"": ""Jerry Harris""}","MITRE,MITRE_P721"
jamie.elliott@not-actually-mitre.org,"{""first_name"": ""Jamie"", ""last_name"": ""Elliott"", ""company"": ""MITRE"", ""job_title"": ""Analytical chemist"", ""phone_number"": ""396-263-1721x133"", ""department"": ""L532"", ""manager"": ""Kenneth Miranda""}","MITRE,MITRE_L532"
tammy.ray@not-actually-mitre.org,"{""first_name"": ""Tammy"", ""last_name"": ""Ray"", ""company"": ""MITRE"", ""job_title"": ""Cabin crew"", ""phone_number"": ""+1-838-474-0461x4061"", ""department"": ""P721"", ""manager"": ""Richard Clay""}","MITRE,MITRE_P721"
eric.hoffman@not-actually-mitre.org,"{""first_name"": ""Eric"", ""last_name"": ""Hoffman"", ""company"": ""MITRE"", ""job_title"": ""Field trials officer"", ""phone_number"": ""705-391-6308"", ""department"": ""L533"", ""manager"": ""Christopher Duran""}","MITRE,MITRE_L533"
nathan.cook@not-actually-mitre.org,"{""first_name"": ""Nathan"", ""last_name"": ""Cook"", ""company"": ""MITRE"", ""job_title"": ""Financial trader"", ""phone_number"": ""(375)882-7709x7037"", ""department"": ""L533"", ""manager"": ""Tina Garcia""}","MITRE,MITRE_L533"
xavier.morgan@not-actually-mitre.org,"{""first_name"": ""Xavier"", ""last_name"": ""Morgan"", ""company"": ""MITRE"", ""job_title"": ""Manufacturing systems engineer"", ""phone_number"": ""001-789-912-1855x8451"", ""department"": ""P723"", ""manager"": ""Zachary Rodgers""}","MITRE,MITRE_P723"
brian.sanchez@not-actually-mitre.org,"{""first_name"": ""Brian"", ""last_name"": ""Sanchez"", ""company"": ""MITRE"", ""job_title"": ""Local government officer"", ""phone_number"": ""001-788-653-7925x2620"", ""department"": ""L531"", ""manager"": ""Shane Cummings""}","MITRE,MITRE_L531"
jennifer.hays@not-actually-mitre.org,"{""first_name"": ""Jennifer"", ""last_name"": ""Hays"", ""company"": ""MITRE"", ""job_title"": ""Programme researcher, broadcasting/film/video"", ""phone_number"": ""001-835-765-6843x373"", ""department"": ""P724"", ""manager"": ""Tina Mcdaniel""}","MITRE,MITRE_P724"
